Item,Unit,Material (R/unit),Labour (R/unit),Default Job Notes
Interior Walls Paintwork,m²,35,35,"•	If not skimmed/repaired wash walls with Sugar Soap where contaminated
•	Let repairs/wash completely dry
•	Sand repairs and spot prime with Plaster Primer. On new builds prime entire wall with Plaster Primer
•	Apply two coats of Midafelt 230 (Colour to be specified)"
Mould and Fungi Treatment,m²,12,35,"•	Apply 1 coat Midas FUNGICIDAL WASH to all affected areas.
•	Allow minimum 24 hours reaction time.
•	Remove all growth with a stiff fibre brush.
•	Apply SECOND coat of FUNGICIDAL WASH.
•	DO NOT rinse off the second coat.
•	Failure to follow this sequence risks regrowth.
"
Paint Galvanised Metal,m²,125,45,"•	Lightly sand surface to dull uniform appearance
•	Apply 1 coat of 504 Surface Tolerant Epoxy as Primer
•	Allow 6 to 12 hours (weather depending) to dry before overcoating
•	Apply 1 coat of 504 Surface Tolerant Epoxy
•	Allow to Allow 6 to 12 hours (weather depending) to dry before overcoating
•	Apply 2 coats of 112 Solvent Based Acrithane Sealer"
Paint Metal,m²,75,55,"•	Clean metal with Midas Degreaser
•	Lighlty sand metal to dull uniform surface
•	Add caulk to frame and wall gaps
•	Apply 1 coat Metaletch Primer
•	Apply 1 coat Midaflow Gloss or Midas Masterroof (colour to be specified)"
Paint Metal- Windows/Doors,each,185,275,"•	Clean metal with Midas Degreaser
•	Lighlty sand metal to dull uniform surface
•	Add caulk to frame and wall gaps
•	Apply 1 coat Metaletch Primer
•	Apply 1 coat Midaflow Gloss or Midas Masterroof (colour to be specified)"
Paint Wood,m²,60,45,"•	If bare/ new wood present, apply Midas Woodprime to all new surfaces
•	Lightly sand to uniform colour/appearance
•	Add caulk to frame and wall gaps
•	Replace cracking/dry or missing putty. Use Putty Hardener
•	Spot prime nails, screws or metal fittings with Metal Etch Primer
•	Apply 1 coat of Universal Undercoat
•	Apply 2 coat of Midalux 240 OR 2 coats of Water Based Non-Drip Enamel (colour to be specified)"
Paint Wood- Windows/Doors,each,150,225,"•	If bare/ new wood present, apply Midas Woodprime to all new surfaces
•	Lightly sand to uniform colour/appearance
•	Add caulk to frame and wall gaps
•	Replace cracking/dry or missing putty. Use Putty Hardener
•	Spot prime nails, screws or metal fittings with Metal Etch Primer
•	Apply 1 coat of Universal Undercoat
•	Apply 2 coat of Midalux 240 OR 2 coats of Midaflow (ext) WB Non-Drip (int) (colour to be specified)"
Plaster Repair,m²,80,50,"•	Remove ALL loose, defective and damaged plaster
•	Prime area with 1 coat bonding liquid
•	Repair with Paintsmiths PLASTER REPAIR KIT
•	Do not exceed 20mm thickness.
•	Do not rush curing – insufficient curing leads to failure
•	Wet plaster 2 times daily or cover with dropsheet after first wetting.
•	Smoothen plaster or use a sponge to match existing texture.
"
Roof Painting,m²,55,65,"•	Ensure roof is dry and clean. Do not paint in high humidity, temperature or probability of mist/rain.
•	Spot prime nails, roof screws and metal fittings with Rust Neutrelizer and Metal Etch Primer.
•	If needed apply 1 coat of Primer
•	Apply 2 coats of Midas Masteroof OR Rubberduck (colour to be specified)"
Skimming,m²,75,90,"•	Complete repairs first
•	Allow fillers and repairs to dry
•	Use a steel trowel and Exterior OR Interior Skimfill to achieve smooth uniform surface
•	Sand lightly and wipe down before continuing to prime and paint"
Skirtings,lm,45,35,"•	Remove loose contaminents and wash with Midas Degreaser where neccesary
•	Allow to fully dry, then sand lightly to remove gloss and get a uniform finish.
•	Caulk skirting where neccesary
•	Apply 1 coat of Universal Undercoat
•	Allow 4 hours for overcoating
•	Apply 2 coats of Midafelt 225 OR 2 coats of Waterbased Non-drip Enamel (colour to be specified)"
Tile Remove,m²,750,350,"•	Skip Rental
•	Work following tile removal is a provisional part of the quote- Dependant on substrate condition the quote will have to be reassessed.
"
Timber Preserve,m²,70,45,"•	Lightly sand to uniform colour/appearance
•	Add caulk to frame and wall gaps
•	Replace cracking/dry or missing putty. Use Putty Hardener
•	Apply 1 coat of Timber Preserve**
•	Lighlty sand and apply second coat of Timber Preserve**
**Please note drying time is 48hrs +"
Timber Preserve- Windows/Doors,each,125,175,"•	Lightly sand to uniform colour/appearance
•	Add caulk to frame and wall gaps
•	Replace cracking/dry or missing putty. Use Putty Hardener
•	Apply 1 coat of Timber Preserve**
•	Lighlty sand and apply second coat of Timber Preserve**
**Please note drying time is 48hrs +"
Varnish Wood,m²,51,97,"•	Lightly sand to uniform colour/appearance
•	Add caulk to frame and wall gaps
•	Replace cracking/dry or missing putty. Use Putty Hardener
•	Apply 1 coat of Indoor/Outdoor Varnish and let dry
•	Lightly sand and apply second coat of Indoor/Outdoor Varnish"
Varnish Wood- Windows/Doors,each,175,275,"•	Lightly sand to uniform colour/appearance
•	Add caulk to frame and wall gaps
•	Replace cracking/dry or missing putty. Use Putty Hardener
•	Apply 1 coat of Indoor/Outdoor Varnish and let dry
•	Lightly sand and apply second coat of Indoor/Outdoor Varnish"
Waterproofing Rising Damp/ Horizontals,m²,55,36,"•	Remove all loose contaminants.
•	Apply 1 coat of Waterpoof Slurry Kit from the floor to +-/ 30cm above the affected area.
•	Wait 1 to 2 hours and apply second coat of Waterproof Slurry Kit to same area.
•	Continue with priming and painting."
Waterproofing Roofs/Concrete Deks,m²,105,55,"•	Remove all loose contaminants and materials.
•	Apply flashmesh and coat with PCT36 to corners.
•	Apply two coats of PCT36 Slurry. Ligtly wet concrete before application.
•	Continue with priming and painting. PCT must be overcoated with UV resistant coating."
Wood Floors – Sanded to Renew & Varnish,m²,105,65,"• Note to Client: This is a dusty process. The complete floor must be done in one stage. The floor must be clear of furniture.
• Vacuum the floor to remove dust.
• Apply the first coat of indoor varnish thinned with 10% thinners to penetrate the wood.
• Sand the first coat with 300-grit sandpaper in circular movements and wipe clean.
• Apply the final coat. Second painter to lay off the wet varnish to prevent lines -maintaining a wet edge."
Wood Floors/Rails/ Decks Varnish,m²,45,55,"• Lightly sand wood to remove loose material and key in the new coat.
• Apply 2 coats Indoor Varnish for woodwork."
Wood Repair,lm,50,50,"•	Remove damaged coating, loose materials or rotten wood.
•	Sand down reamining wood to uniform matt finish
•	Prime all replacement pieces of wood with Wood Primer
•	Spot prime nails, hinges and fittings with Metal Etch Primer
•	Treat knots or resin marks with Knotting and Wood sealer
•	Allow to dry and lightly sand to create a good surface for priming"
